year,state,halfyear,suppression,totalRX
2015,VA,2,T,0
2015,VA,2,F,19069
2015,VT,1,T,0
2015,VT,1,F,2360
2015,VT,2,T,0
2015,VT,2,F,2628
2015,WA,1,T,0
2015,WA,1,F,15682
2015,WA,2,T,0
2015,WA,2,F,16580
2015,WI,1,T,0
2015,WI,1,F,23761
2015,WI,2,F,22907
2015,WI,2,T,0
2015,WV,1,T,0
2015,WV,1,F,9468
2015,WV,2,F,9372
2015,WV,2,T,0
2015,WY,1,T,0
2015,WY,1,F,1215
2015,WY,2,T,0
2015,WY,2,F,966
2016,AK,1,T,0
2016,AK,1,F,1987
2016,AK,2,T,0
2016,AK,2,F,2295
2016,AL,1,F,13591
2016,AL,1,T,0
2016,AL,2,T,0
2016,AL,2,F,12329
2016,AR,1,T,0
2016,AR,1,F,3157
2016,AR,2,T,0
2016,AR,2,F,2863
2016,AZ,1,F,17699
2016,AZ,1,T,0
2016,AZ,2,F,12771
2016,AZ,2,T,0
2016,CA,1,T,0
2016,CA,1,F,66979
2016,CA,2,T,0
2016,CA,2,F,65108
2016,CO,1,T,0
2016,CO,1,F,11696
2016,CO,2,T,0
2016,CO,2,F,8910
2016,CT,1,T,0
2016,CT,1,F,16274
2016,CT,2,T,0
2016,CT,2,F,12215
2016,DC,1,F,2111
2016,DC,1,T,0
2016,DC,2,T,0
2016,DC,2,F,1764
2016,DE,1,T,0
2016,DE,1,F,2100
2016,DE,2,T,0
2016,DE,2,F,2293
2016,FL,1,T,0
2016,FL,1,F,19286
2016,FL,2,T,0
2016,FL,2,F,19823
2016,GA,1,T,0
2016,GA,1,F,15006
2016,GA,2,T,0
2016,GA,2,F,15633
2016,HI,1,T,0
2016,HI,1,F,2312
2016,HI,2,T,0
2016,HI,2,F,2652
2016,IA,1,F,10886
2016,IA,1,T,0
2016,IA,2,T,0
2016,IA,2,F,8766
2016,ID,1,F,4503
2016,ID,1,T,0
2016,ID,2,T,0
2016,ID,2,F,4020
2016,IL,1,T,0
2016,IL,1,F,42352
2016,IL,2,T,0
2016,IL,2,F,39859
2016,IN,1,T,0
2016,IN,1,F,30280
2016,IN,2,T,0
2016,IN,2,F,27985
2016,KS,1,T,0
2016,KS,1,F,6029
2016,KS,2,T,0
2016,KS,2,F,7248
2016,KY,1,T,0
2016,KY,1,F,49059
2016,KY,2,T,0
2016,KY,2,F,46760
2016,LA,1,T,0
2016,LA,1,F,11409
2016,LA,2,T,0
2016,LA,2,F,13072
2016,MA,1,T,0
2016,MA,1,F,15277
2016,MA,2,T,0
2016,MA,2,F,15518
2016,MD,1,F,17126
2016,MD,1,T,0
2016,MD,2,F,15848
2016,MD,2,T,0
2016,ME,1,T,0
2016,ME,1,F,4458
2016,ME,2,T,0
2016,ME,2,F,4255
2016,MI,1,F,34292
2016,MI,1,T,0
2016,MI,2,F,29476
2016,MI,2,T,0
2016,MN,1,F,19368
2016,MN,1,T,0
2016,MN,2,T,0
2016,MN,2,F,20304
2016,MO,1,F,26681
2016,MO,1,T,0
2016,MO,2,T,0
2016,MO,2,F,27708
2016,MS,1,T,0
2016,MS,1,F,4250
2016,MS,2,T,0
2016,MS,2,F,4184
2016,MT,1,F,3752
2016,MT,1,T,0
2016,MT,2,T,0
